Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
pū (1)	<???>	pū (1)	Hawaiian	1	U+0070 U+016b U+0020 U+0028 U+0031 U+0029
pa`a (2)	<???>	pa`a (2)	Hawaiian	1	U+0070 U+0061 U+0060 U+0061 U+0020 U+0028 U+0032 U+0029
pila (2)	<???>	pila (2)	Hawaiian	1	U+0070 U+0069 U+006c U+0061 U+0020 U+0028 U+0032 U+0029
`ino (1)	<???>	`ino (1)	Hawaiian	1	U+0060 U+0069 U+006e U+006f U+0020 U+0028 U+0031 U+0029
kī (1)	<???>	kī (1)	Hawaiian	1	U+006b U+012b U+0020 U+0028 U+0031 U+0029
hou (3)	<???>	hou (3)	Hawaiian	1	U+0068 U+006f U+0075 U+0020 U+0028 U+0033 U+0029
kia (2)	<???>	kia (2)	Hawaiian	1	U+006b U+0069 U+0061 U+0020 U+0028 U+0032 U+0029
pila (1)	<???>	pila (1)	Hawaiian	1	U+0070 U+0069 U+006c U+0061 U+0020 U+0028 U+0031 U+0029
lā (1)	<???>	lā (1)	Hawaiian	1	U+006c U+0101 U+0020 U+0028 U+0031 U+0029
lima (2)	<???>	lima (2)	Hawaiian	1	U+006c U+0069 U+006d U+0061 U+0020 U+0028 U+0032 U+0029
hua (1)	<???>	hua (1)	Hawaiian	1	U+0068 U+0075 U+0061 U+0020 U+0028 U+0031 U+0029
piwa (1)	<???>	piwa (1)	Hawaiian	1	U+0070 U+0069 U+0077 U+0061 U+0020 U+0028 U+0031 U+0029
ipu (2)	<???>	ipu (2)	Hawaiian	1	U+0069 U+0070 U+0075 U+0020 U+0028 U+0032 U+0029
hāpai (1)	<???>	hāpai (1)	Hawaiian	1	U+0068 U+0101 U+0070 U+0061 U+0069 U+0020 U+0028 U+0031 U+0029
ho`opili (1)	<???>	ho`opili (1)	Hawaiian	1	U+0068 U+006f U+0060 U+006f U+0070 U+0069 U+006c U+0069 U+0020 U+0028 U+0031 U+0029
moe (1)	<???>	moe (1)	Hawaiian	1	U+006d U+006f U+0065 U+0020 U+0028 U+0031 U+0029
ao (1)	<???>	ao (1)	Hawaiian	1	U+0061 U+006f U+0020 U+0028 U+0031 U+0029
`ino (2)	<???>	`ino (2)	Hawaiian	1	U+0060 U+0069 U+006e U+006f U+0020 U+0028 U+0032 U+0029
kahi (2)	<???>	kahi (2)	Hawaiian	1	U+006b U+0061 U+0068 U+0069 U+0020 U+0028 U+0032 U+0029
lae (2)	<???>	lae (2)	Hawaiian	1	U+006c U+0061 U+0065 U+0020 U+0028 U+0032 U+0029
A	<?>	`Aikupika	Hawaiian	1	U+0041
iho (3)	<???>	iho (3)	Hawaiian	1	U+0069 U+0068 U+006f U+0020 U+0028 U+0033 U+0029
pua (2)	<???>	pua (2)	Hawaiian	1	U+0070 U+0075 U+0061 U+0020 U+0028 U+0032 U+0029
^āh	āh	āhea	Hawaiian	1	U+005e U+0101 U+0068
^N	<?>	Nuhōlani	Hawaiian	1	U+005e U+004e
kia (1)	<???>	kia (1)	Hawaiian	1	U+006b U+0069 U+0061 U+0020 U+0028 U+0031 U+0029
noho (2)	<???>	noho (2)	Hawaiian	1	U+006e U+006f U+0068 U+006f U+0020 U+0028 U+0032 U+0029
lā (3)	<???>	lā (3)	Hawaiian	1	U+006c U+0101 U+0020 U+0028 U+0033 U+0029
ala (2)	<???>	ala (2)	Hawaiian	1	U+0061 U+006c U+0061 U+0020 U+0028 U+0032 U+0029
puhi (2)	<???>	puhi (2)	Hawaiian	1	U+0070 U+0075 U+0068 U+0069 U+0020 U+0028 U+0032 U+0029
hua (2)	<???>	hua (2)	Hawaiian	1	U+0068 U+0075 U+0061 U+0020 U+0028 U+0032 U+0029
moana (2)	<???>	moana (2)	Hawaiian	1	U+006d U+006f U+0061 U+006e U+0061 U+0020 U+0028 U+0032 U+0029
pahu (1)	<???>	pahu (1)	Hawaiian	1	U+0070 U+0061 U+0068 U+0075 U+0020 U+0028 U+0031 U+0029
uhi (2)	<???>	uhi (2)	Hawaiian	1	U+0075 U+0068 U+0069 U+0020 U+0028 U+0032 U+0029
kula (2)	<???>	kula (2)	Hawaiian	1	U+006b U+0075 U+006c U+0061 U+0020 U+0028 U+0032 U+0029
komo (3)	<???>	komo (3)	Hawaiian	1	U+006b U+006f U+006d U+006f U+0020 U+0028 U+0033 U+0029
ana (2)	<???>	ana (2)	Hawaiian	1	U+0061 U+006e U+0061 U+0020 U+0028 U+0032 U+0029
ao (2)	<???>	ao (2)	Hawaiian	1	U+0061 U+006f U+0020 U+0028 U+0032 U+0029
kala (2)	<???>	kala (2)	Hawaiian	1	U+006b U+0061 U+006c U+0061 U+0020 U+0028 U+0032 U+0029
papa (2)	<???>	papa (2)	Hawaiian	1	U+0070 U+0061 U+0070 U+0061 U+0020 U+0028 U+0032 U+0029
