Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
er2xi2fu(r)	<???>	er2xi2fu(r)	Mandarin Chinese	2	U+0065 U+0072 U+0032 U+0078 U+0069 U+0032 U+0066 U+0075 U+0028 U+0072 U+0029
wan3 (1)	<???>	wan3 (1)	Mandarin Chinese	2	U+0077 U+0061 U+006e U+0033 U+0020 U+0028 U+0031 U+0029
xin1 (1)	<???>	xin1 (1)	Mandarin Chinese	2	U+0078 U+0069 U+006e U+0031 U+0020 U+0028 U+0031 U+0029
jiang3 (1)	<???>	jiang3 (1)	Mandarin Chinese	2	U+006a U+0069 U+0061 U+006e U+0067 U+0033 U+0020 U+0028 U+0031 U+0029
pa2 (2)	<???>	pa2 (2)	Mandarin Chinese	2	U+0070 U+0061 U+0032 U+0020 U+0028 U+0032 U+0029
zuo4 (1)	<???>	zuo4 (1)	Mandarin Chinese	2	U+007a U+0075 U+006f U+0034 U+0020 U+0028 U+0031 U+0029
jiang3 (2)	<???>	jiang3 (2)	Mandarin Chinese	2	U+006a U+0069 U+0061 U+006e U+0067 U+0033 U+0020 U+0028 U+0032 U+0029
ji4nü3 (1)	<???>	ji4nü3 (1)	Mandarin Chinese	1	U+006a U+0069 U+0034 U+006e U+00fc U+0033 U+0020 U+0028 U+0031 U+0029
qi2 (2)	<???>	qi2 (2)	Mandarin Chinese	1	U+0071 U+0069 U+0032 U+0020 U+0028 U+0032 U+0029
zai4 (X) li3mian	<???>	zai4 (X) li3mian	Mandarin Chinese	1	U+007a U+0061 U+0069 U+0034 U+0020 U+0028 U+0058 U+0029 U+0020 U+006c U+0069 U+0033 U+006d U+0069 U+0061 U+006e
ci2 (1)	<???>	ci2 (1)	Mandarin Chinese	1	U+0063 U+0069 U+0032 U+0020 U+0028 U+0031 U+0029
zui4 (2)	<???>	zui4 (2)	Mandarin Chinese	1	U+007a U+0075 U+0069 U+0034 U+0020 U+0028 U+0032 U+0029
jian4 (5)	<???>	jian4 (5)	Mandarin Chinese	1	U+006a U+0069 U+0061 U+006e U+0034 U+0020 U+0028 U+0035 U+0029
^Y	<?>	Ying1wu3	Mandarin Chinese	1	U+005e U+0059
jian4 (3)	<???>	jian4 (3)	Mandarin Chinese	1	U+006a U+0069 U+0061 U+006e U+0034 U+0020 U+0028 U+0033 U+0029
chuan1 (1)	<???>	chuan1 (1)	Mandarin Chinese	1	U+0063 U+0068 U+0075 U+0061 U+006e U+0031 U+0020 U+0028 U+0031 U+0029
