Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
ch	ch	pśichodna źowka, pśichodny syn	Lower Sorbian	52	U+0063 U+0068
ž	ž	śěžki, kóža	Lower Sorbian	48	U+017e
^d	d	droga, drugi	Lower Sorbian	48	U+005e U+0064
^c	c	cerkwja, crjowa	Lower Sorbian	47	U+005e U+0063
^l	l	lězć, laś	Lower Sorbian	46	U+005e U+006c
i$	i	drugi, pśi	Lower Sorbian	44	U+0069 U+0024
^j	j	jěś, jajo	Lower Sorbian	40	U+005e U+006a
ŕ$	<?>	kuŕ, rejtaŕ	Lower Sorbian	38	U+0155 U+0024
c$	c	kóńc, palc	Lower Sorbian	35	U+0063 U+0024
l$	l	mjeržel, kamel	Lower Sorbian	30	U+006c U+0024
f	f	šwigerfoter, nefa	Lower Sorbian	29	U+0066
r$	r	šwigerfoter, jaguar	Lower Sorbian	28	U+0072 U+0024
t$	t	płot, swět	Lower Sorbian	28	U+0074 U+0024
ć$	<?>	tśěsć, lězć	Lower Sorbian	28	U+0107 U+0024
d$	d	pśed, land	Lower Sorbian	27	U+0064 U+0024
ć	<?>	pušćiś, gósćinaŕ	Lower Sorbian	26	U+0107
j$	j	kraj, wólej	Lower Sorbian	26	U+006a U+0024
^f	f	familija, fernzejn	Lower Sorbian	22	U+005e U+0066
^ž	ž	žeńska, žyła	Lower Sorbian	22	U+005e U+017e
^ź	<?>	źěliś, źeń	Lower Sorbian	21	U+005e U+017a
^ś	ś	śota, śěło	Lower Sorbian	20	U+005e U+015b
tw	tw	ratwa, hantwal	Lower Sorbian	20	U+0074 U+0077
^ch	ch	chrapje, chowaś	Lower Sorbian	18	U+005e U+0063 U+0068
ń	ń	kóńc, pyšnjeńki	Lower Sorbian	17	U+0144
^h	h	hantwal, hengist	Lower Sorbian	17	U+005e U+0068
^šw	šw	šwigersyn, šwigerźowka	Lower Sorbian	17	U+005e U+0161 U+0077
s$	s	nos, gus	Lower Sorbian	16	U+0073 U+0024
ós	ós	pcołkowy wósk, kósma	Lower Sorbian	16	U+00f3 U+0073
ń$	ń	źeń, wugeń	Lower Sorbian	15	U+0144 U+0024
m$	m	dom, štrom	Lower Sorbian	15	U+006d U+0024
ěs	ěs	město, tśěsć	Lower Sorbian	14	U+011b U+0073
b$	b	kórb, grab	Lower Sorbian	13	U+0062 U+0024
^sw	sw	swětły, swinja	Lower Sorbian	13	U+005e U+0073 U+0077
^ł	ł	łapiś, łapotka	Lower Sorbian	13	U+005e U+0142
ch$	ch	tšach, duch	Lower Sorbian	13	U+0063 U+0068 U+0024
ł$	ł	kružoł, sokoł	Lower Sorbian	12	U+0142 U+0024
š$	š	weš, młodšy bratš	Lower Sorbian	12	U+0161 U+0024
rs	rs	šwigersyn, mórski zalew	Lower Sorbian	12	U+0072 U+0073
g$	g	bumerang, pśibrjog	Lower Sorbian	11	U+0067 U+0024
p$	p	sup, serp	Lower Sorbian	11	U+0070 U+0024
w$	w	spiw, how	Lower Sorbian	10	U+0077 U+0024
z$	z	pjenjez, wóz	Lower Sorbian	10	U+007a U+0024
^a	a	arteria, armeja	Lower Sorbian	9	U+005e U+0061
?$	<?>	wjele?, cogodla?	Lower Sorbian	9	U+003f U+0024
