Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
q$	q	kamenaq, ixq	Q'eqchi'	69	U+0071 U+0024
^l	l	lem, lemskaaq	Q'eqchi'	66	U+005e U+006c
w	w	tawok, ka’j wi’	Q'eqchi'	66	U+0077
^n	n	neb’a’, nimla tenamit	Q'eqchi'	62	U+005e U+006e
^q	q	q'un, q’ol	Q'eqchi'	61	U+005e U+0071
t$	t	nimla tenamit, meet	Q'eqchi'	61	U+0074 U+0024
^y	y	yiib'ej, yaab'ak	Q'eqchi'	60	U+005e U+0079
p	p	ch'epok, pumpuukil ha’	Q'eqchi'	59	U+0070
x$	x	chi rix, tiix	Q'eqchi'	58	U+0078 U+0024
ii	ii	tiix, yiib'ej	Q'eqchi'	57	U+0069 U+0069
h	h	tzakahem, pumpuukil ha’	Q'eqchi'	57	U+0068
a$	a	wa, choxa	Q'eqchi'	53	U+0061 U+0024
^h	h	hu, ha’an	Q'eqchi'	50	U+005e U+0068
u$	u	hu, ewu	Q'eqchi'	50	U+0075 U+0024
uu	uu	tz’uumal, ruuxam	Q'eqchi'	47	U+0075 U+0075
